Word: tennis, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: nascar, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: golf, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: boxing, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: cycling, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: wnba, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: usfl, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: indycar, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: horse, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: racing, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: olympics, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: gamechannel, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: rival, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: podcasts, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: r, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: team, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: apparel, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: gear, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: shop, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 5
Word: breakingt, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: shirt, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: newsfeed, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: entertainment, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: celebrity, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: tv, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: movie, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: music, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: life, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 3
Word: health, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 4
Word: style, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 2
Word: beauty, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: parenting, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: horoscope, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: wellbeing, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: food, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 2
Word: travel, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 2
Word: term, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: privacy, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: dashboard, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: feedback, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: all, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: right, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 2
Word: reserved, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: about, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: our, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: ad, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
Word: advertising, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 0
Word: career, Frequency in https://news.yahoo.com/the-uaw-strike-and-electric-cars-does-trump-have-a-new-wedge-issue-183658881.html: 1
